timestamp_utc,mmsi,imo,vessel_name,lat,lon,course_deg,speed_knots,heading_deg,nav_status,draught_m,destination,eta_ais,eta_utc,ais_source,quality_flag
2026-08-25T00:00:00Z,419000000,9000000,Demo Bulk Carrier 01,20.266,86.88,90,11.5,90,Under way using engine,14.43,INPRD,,,SYNTHETIC_DEMO,SYNTHETIC
2026-08-25T03:00:00Z,419000001,9000001,Demo Bulk Carrier 02,17.8335,83.32989,113,10.8,113,Under way using engine,12.8,INVTZ,,,SYNTHETIC_DEMO,SYNTHETIC
2026-08-25T06:00:00Z,419000002,9000002,Demo Bulk Carrier 03,17.83908,83.1781,136,10.1,136,Under way using engine,10.54,INGGV,,,SYNTHETIC_DEMO,SYNTHETIC
2026-08-25T09:00:00Z,419000003,9000003,Demo Bulk Carrier 04,19.42111,84.73727,159,9.4,159,Under way using engine,18.2,INGPR,,,SYNTHETIC_DEMO,SYNTHETIC
2026-08-25T12:00:00Z,419000004,9000004,Demo Bulk Carrier 05,20.83362,86.79858,182,8.7,182,Under way using engine,14.43,INDHM,,,SYNTHETIC_DEMO,SYNTHETIC
2026-08-25T15:00:00Z,419000005,9000005,Demo Bulk Carrier 06,21.90337,87.96206,205,8.0,205,Under way using engine,12.8,INSAG,,,SYNTHETIC_DEMO,SYNTHETIC
2026-08-25T18:00:00Z,419000006,9000006,Demo Bulk Carrier 07,22.08909,88.17424,228,7.3,228,Under way using engine,10.54,INHAL,,,SYNTHETIC_DEMO,SYNTHETIC
2026-08-25T21:00:00Z,419000007,9000007,Demo Bulk Carrier 08,20.47852,86.87997,251,11.5,251,Under way using engine,18.2,INPRD,,,SYNTHETIC_DEMO,SYNTHETIC
2026-08-26T00:00:00Z,419000000,9000000,Demo Bulk Carrier 01,17.78263,83.35567,108,10.8,108,Under way using engine,14.43,INVTZ,,,SYNTHETIC_DEMO,SYNTHETIC
2026-08-26T03:00:00Z,419000001,9000001,Demo Bulk Carrier 02,17.81294,83.21374,131,10.1,131,Under way using engine,12.8,INGGV,,,SYNTHETIC_DEMO,SYNTHETIC
2026-08-26T06:00:00Z,419000002,9000002,Demo Bulk Carrier 03,19.41677,84.75579,154,9.4,154,Under way using engine,10.54,INGPR,,,SYNTHETIC_DEMO,SYNTHETIC
2026-08-26T09:00:00Z,419000003,9000003,Demo Bulk Carrier 04,20.83167,86.78598,177,8.7,177,Under way using engine,18.2,INDHM,,,SYNTHETIC_DEMO,SYNTHETIC
2026-08-26T12:00:00Z,419000004,9000004,Demo Bulk Carrier 05,21.88258,87.92786,200,8.0,200,Under way using engine,14.43,INSAG,,,SYNTHETIC_DEMO,SYNTHETIC
2026-08-26T15:00:00Z,419000005,9000005,Demo Bulk Carrier 06,22.04248,88.14433,223,7.3,223,Under way using engine,12.8,INHAL,,,SYNTHETIC_DEMO,SYNTHETIC
2026-08-26T18:00:00Z,419000006,9000006,Demo Bulk Carrier 07,20.41868,86.87699,246,11.5,246,Under way using engine,10.54,INPRD,,,SYNTHETIC_DEMO,SYNTHETIC
2026-08-26T21:00:00Z,419000007,9000007,Demo Bulk Carrier 08,17.99455,83.3537,269,10.8,269,Under way using engine,18.2,INVTZ,,,SYNTHETIC_DEMO,SYNTHETIC
2026-08-27T00:00:00Z,419000000,9000000,Demo Bulk Carrier 01,17.78082,83.24959,126,10.1,126,Under way using engine,14.43,INGGV,,,SYNTHETIC_DEMO,SYNTHETIC
2026-08-27T03:00:00Z,419000001,9000001,Demo Bulk Carrier 02,19.40886,84.78007,149,9.4,149,Under way using engine,12.8,INGPR,,,SYNTHETIC_DEMO,SYNTHETIC
2026-08-27T06:00:00Z,419000002,9000002,Demo Bulk Carrier 03,20.83124,86.78031,172,8.7,172,Under way using engine,10.54,INDHM,,,SYNTHETIC_DEMO,SYNTHETIC
2026-08-27T09:00:00Z,419000003,9000003,Demo Bulk Carrier 04,21.86726,87.89653,195,8.0,195,Under way using engine,18.2,INSAG,,,SYNTHETIC_DEMO,SYNTHETIC
2026-08-27T12:00:00Z,419000004,9000004,Demo Bulk Carrier 05,22.00116,88.11106,218,7.3,218,Under way using engine,14.43,INHAL,,,SYNTHETIC_DEMO,SYNTHETIC
2026-08-27T15:00:00Z,419000005,9000005,Demo Bulk Carrier 06,20.35992,86.86695,241,11.5,241,Under way using engine,12.8,INPRD,,,SYNTHETIC_DEMO,SYNTHETIC
2026-08-27T18:00:00Z,419000006,9000006,Demo Bulk Carrier 07,17.94012,83.37449,264,10.8,264,Under way using engine,10.54,INVTZ,,,SYNTHETIC_DEMO,SYNTHETIC
2026-08-27T21:00:00Z,419000007,9000007,Demo Bulk Carrier 08,17.99123,83.24661,287,10.1,287,Under way using engine,18.2,INGGV,,,SYNTHETIC_DEMO,SYNTHETIC
2026-08-28T00:00:00Z,419000000,9000000,Demo Bulk Carrier 01,19.39648,84.80913,144,9.4,144,Under way using engine,14.43,INGPR,,,SYNTHETIC_DEMO,SYNTHETIC
2026-08-28T03:00:00Z,419000001,9000001,Demo Bulk Carrier 02,20.83117,86.7818,167,8.7,167,Under way using engine,12.8,INDHM,,,SYNTHETIC_DEMO,SYNTHETIC
2026-08-28T06:00:00Z,419000002,9000002,Demo Bulk Carrier 03,21.85684,87.86933,190,8.0,190,Under way using engine,10.54,INSAG,,,SYNTHETIC_DEMO,SYNTHETIC
2026-08-28T09:00:00Z,419000003,9000003,Demo Bulk Carrier 04,21.96558,88.07575,213,7.3,213,Under way using engine,18.2,INHAL,,,SYNTHETIC_DEMO,SYNTHETIC
2026-08-28T12:00:00Z,419000004,9000004,Demo Bulk Carrier 05,20.3034,86.85025,236,11.5,236,Under way using engine,14.43,INPRD,,,SYNTHETIC_DEMO,SYNTHETIC
2026-08-28T15:00:00Z,419000005,9000005,Demo Bulk Carrier 06,17.88273,83.38904,259,10.8,259,Under way using engine,12.8,INVTZ,,,SYNTHETIC_DEMO,SYNTHETIC
2026-08-28T18:00:00Z,419000006,9000006,Demo Bulk Carrier 07,17.9537,83.28139,282,10.1,282,Under way using engine,10.54,INGGV,,,SYNTHETIC_DEMO,SYNTHETIC
