date,vessel_class,freight_usd_day,unit,source,data_status
2026-09-01,Capesize,51849,USD/day,KOBC Drybulk Composite Index,PUBLIC_ACTUAL
2026-09-01,Panamax,21930,USD/day,KOBC Drybulk Composite Index,PUBLIC_ACTUAL
2026-09-01,Supramax,20849,USD/day,KOBC Drybulk Composite Index,PUBLIC_ACTUAL
2026-09-01,Handysize,15268,USD/day,KOBC Drybulk Composite Index,PUBLIC_ACTUAL
2026-09-02,Capesize,51973,USD/day,KOBC Drybulk Composite Index,PUBLIC_ACTUAL
2026-09-02,Panamax,22148,USD/day,KOBC Drybulk Composite Index,PUBLIC_ACTUAL
2026-09-02,Supramax,20895,USD/day,KOBC Drybulk Composite Index,PUBLIC_ACTUAL
2026-09-02,Handysize,15299,USD/day,KOBC Drybulk Composite Index,PUBLIC_ACTUAL
2026-09-03,Capesize,56921,USD/day,KOBC Drybulk Composite Index,PUBLIC_ACTUAL
2026-09-03,Panamax,22536,USD/day,KOBC Drybulk Composite Index,PUBLIC_ACTUAL
2026-09-03,Supramax,21013,USD/day,KOBC Drybulk Composite Index,PUBLIC_ACTUAL
2026-09-03,Handysize,15332,USD/day,KOBC Drybulk Composite Index,PUBLIC_ACTUAL
2026-09-04,Capesize,60432,USD/day,KOBC Drybulk Composite Index,PUBLIC_ACTUAL
2026-09-04,Panamax,22821,USD/day,KOBC Drybulk Composite Index,PUBLIC_ACTUAL
2026-09-04,Supramax,21218,USD/day,KOBC Drybulk Composite Index,PUBLIC_ACTUAL
2026-09-04,Handysize,15453,USD/day,KOBC Drybulk Composite Index,PUBLIC_ACTUAL
2026-09-07,Capesize,63177,USD/day,KOBC Drybulk Composite Index,PUBLIC_ACTUAL
2026-09-07,Panamax,22832,USD/day,KOBC Drybulk Composite Index,PUBLIC_ACTUAL
2026-09-07,Supramax,21236,USD/day,KOBC Drybulk Composite Index,PUBLIC_ACTUAL
2026-09-07,Handysize,15582,USD/day,KOBC Drybulk Composite Index,PUBLIC_ACTUAL
