date,vessel_type,freight_rate_usd_day,source,source_type,unit,lag_1,lag_3,lag_7,lag_14,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_std_7,rolling_std_14,day_of_week,month,quarter,day_of_month,rate_change_1d,rate_change_7d,rate_pct_change_1d,rate_pct_change_7d,target_7d,target_14d,target_30d
2020-01-03,Capesize,12778,KOBC,PUBLIC_ACTUAL,USD/day,,,,,,,,,,4,1,1,3,,,,,10060.0,6091.0,5161.0
2020-01-06,Capesize,10958,KOBC,PUBLIC_ACTUAL,USD/day,12778.0,,,,,,,,,0,1,1,6,-1820.0,,-14.24323055251213,,9715.0,6158.0,5489.0
2020-01-07,Capesize,10094,KOBC,PUBLIC_ACTUAL,USD/day,10958.0,,,,,,,,,1,1,1,7,-864.0,,-7.884650483664901,,9508.0,5675.0,5407.0
2020-01-08,Capesize,9076,KOBC,PUBLIC_ACTUAL,USD/day,10094.0,12778.0,,,,,,,,2,1,1,8,-1018.0,,-10.085199128194965,,9044.0,5440.0,5331.0
2020-01-09,Capesize,9258,KOBC,PUBLIC_ACTUAL,USD/day,9076.0,10958.0,,,,,,,,3,1,1,9,182.0,,2.0052886734244213,,8842.0,5326.0,5119.0
2020-01-10,Capesize,9646,KOBC,PUBLIC_ACTUAL,USD/day,9258.0,10094.0,,,,,,,,4,1,1,10,388.0,,4.19096997191617,,8324.0,5136.0,4825.0
2020-01-13,Capesize,10181,KOBC,PUBLIC_ACTUAL,USD/day,9646.0,9076.0,,,,,,,,0,1,1,13,535.0,,5.54634045200082,,7801.0,5034.0,4703.0
2020-01-14,Capesize,10060,KOBC,PUBLIC_ACTUAL,USD/day,10181.0,9258.0,12778.0,,10284.42857142857,,,1267.543800313932,,1,1,1,14,-121.0,-2718.0,-1.1884883606718355,-21.27093441853185,6091.0,4768.0,4613.0
2020-01-15,Capesize,9715,KOBC,PUBLIC_ACTUAL,USD/day,10060.0,9646.0,10958.0,,9896.142857142857,,,634.7063437977766,,2,1,1,15,-345.0,-1243.0,-3.4294234592445294,-11.343310823142904,6158.0,4738.0,4694.0
2020-01-16,Capesize,9508,KOBC,PUBLIC_ACTUAL,USD/day,9715.0,10181.0,10094.0,,9718.57142857143,,,428.4980969008118,,3,1,1,16,-207.0,-586.0,-2.1307256819351528,-5.805428967703586,5675.0,4539.0,4651.0
2020-01-17,Capesize,9044,KOBC,PUBLIC_ACTUAL,USD/day,9508.0,10060.0,9076.0,,9634.857142857143,,,399.1659757425154,,4,1,1,17,-464.0,-32.0,-4.880100967606227,-0.3525782282943979,5440.0,4614.0,4766.0
2020-01-20,Capesize,8842,KOBC,PUBLIC_ACTUAL,USD/day,9044.0,9715.0,9258.0,,9630.285714285714,,,406.74427440580257,,0,1,1,20,-202.0,-416.0,-2.2335249889429476,-4.493411103910128,5326.0,4698.0,4672.0
2020-01-21,Capesize,8324,KOBC,PUBLIC_ACTUAL,USD/day,8842.0,9508.0,9646.0,,9570.857142857143,,,491.71822167152516,,1,1,1,21,-518.0,-1322.0,-5.858403076227104,-13.705162761766532,5136.0,4745.0,4686.0
2020-01-22,Capesize,7801,KOBC,PUBLIC_ACTUAL,USD/day,8324.0,9044.0,10181.0,,9382.0,,,677.0103396551606,,2,1,1,22,-523.0,-2380.0,-6.283037001441616,-23.37687849916511,5034.0,4716.0,4791.0
2020-01-28,Capesize,6091,KOBC,PUBLIC_ACTUAL,USD/day,7801.0,8842.0,10060.0,12778.0,9042.0,9663.214285714286,,796.0337095039754,1203.9908751616547,1,1,1,28,-1710.0,-3969.0,-21.92026663248301,-39.45328031809146,4768.0,4714.0,4713.0
2020-01-29,Capesize,6158,KOBC,PUBLIC_ACTUAL,USD/day,6091.0,8324.0,9715.0,10958.0,8475.0,9185.57142857143,,1239.8704233373155,1199.6649990268577,2,1,1,29,67.0,-3557.0,1.099983582334585,-36.61348430262481,4738.0,4909.0,4843.0
2020-01-30,Capesize,5675,KOBC,PUBLIC_ACTUAL,USD/day,6158.0,7801.0,9508.0,10094.0,7966.857142857143,8842.714285714286,,1369.1297027152416,1332.6815320751116,3,1,1,30,-483.0,-3833.0,-7.843455667424493,-40.31342027766092,4539.0,5161.0,4874.0
2020-01-31,Capesize,5440,KOBC,PUBLIC_ACTUAL,USD/day,5675.0,6091.0,9044.0,9076.0,7419.285714285715,8527.07142857143,,1415.7296957500569,1523.2150443809871,4,1,1,31,-235.0,-3604.0,-4.1409691629956,-39.849624060150376,4614.0,5489.0,4828.0
2020-02-03,Capesize,5326,KOBC,PUBLIC_ACTUAL,USD/day,5440.0,6158.0,8842.0,9258.0,6904.428571428572,8267.357142857143,,1381.3081791237814,1719.721784616197,0,2,1,3,-114.0,-3516.0,-2.0955882352941213,-39.76475910427505,4698.0,5407.0,4829.0
2020-02-04,Capesize,5136,KOBC,PUBLIC_ACTUAL,USD/day,5326.0,5675.0,8324.0,9646.0,6402.142857142857,7986.5,,1184.573823304022,1860.782248658633,1,2,1,4,-190.0,-3188.0,-3.567405182125427,-38.29889476213359,4745.0,5331.0,4886.0
2020-02-05,Capesize,5034,KOBC,PUBLIC_ACTUAL,USD/day,5136.0,5440.0,7801.0,10181.0,5946.714285714285,7664.357142857143,,901.5696893539985,1940.0868976233185,2,2,1,5,-102.0,-2767.0,-1.985981308411211,-35.46981156262018,4716.0,5119.0,4921.0
2020-02-06,Capesize,4768,KOBC,PUBLIC_ACTUAL,USD/day,5034.0,5326.0,6091.0,10060.0,5551.428571428572,7296.714285714285,,443.073303620189,1914.0013032939637,3,2,1,6,-266.0,-1323.0,-5.284068335319825,-21.7205713347562,4714.0,4825.0,5348.0
2020-02-07,Capesize,4738,KOBC,PUBLIC_ACTUAL,USD/day,4768.0,5136.0,6158.0,9715.0,5362.428571428572,6918.714285714285,,456.5193888334928,1847.7113672604007,4,2,1,7,-30.0,-1420.0,-0.6291946308724872,-23.059434881455022,4909.0,4703.0,5474.0
2020-02-10,Capesize,4539,KOBC,PUBLIC_ACTUAL,USD/day,4738.0,5034.0,5675.0,9508.0,5159.571428571428,6563.214285714285,,346.26091181011157,1744.2093725137581,0,2,1,10,-199.0,-1136.0,-4.200084423807516,-20.017621145374452,5161.0,4613.0,5587.0
